Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2021,9,BAHÇELİEVLER,6048061.054
2021,10,BAHÇELİEVLER,10902937.346
2021,11,BAHÇELİEVLER,19519078.401
2021,12,BAHÇELİEVLER,31956446.131
2022,1,BAHÇELİEVLER,40563061.103
2022,2,BAHÇELİEVLER,33720829.498
2022,3,BAHÇELİEVLER,41136123.643
2022,4,BAHÇELİEVLER,16364031.968
2022,5,BAHÇELİEVLER,9197930.007
2022,6,BAHÇELİEVLER,5804186.989
2022,7,BAHÇELİEVLER,4808151.006
2022,8,BAHÇELİEVLER,5123383.189
2022,9,BAHÇELİEVLER,5580083.553
2022,10,BAHÇELİEVLER,7992089.993
2022,11,BAHÇELİEVLER,14080384.339
2022,12,BAHÇELİEVLER,25605180.141
2023,1,BAHÇELİEVLER,29629176.051
2023,2,BAHÇELİEVLER,34086201.812
2023,3,BAHÇELİEVLER,28319052.136
2023,4,BAHÇELİEVLER,16722461.528
2015,1,BAKIRKÖY,32062785.307
2015,2,BAKIRKÖY,27720591.258
2015,3,BAKIRKÖY,26902872.587
2015,4,BAKIRKÖY,18585993.611
2015,5,BAKIRKÖY,8412055.849
2015,6,BAKIRKÖY,6611049.762
2015,7,BAKIRKÖY,6358343.383
2015,8,BAKIRKÖY,6124931.724
2015,9,BAKIRKÖY,6345954.376
2015,10,BAKIRKÖY,10073754.647
2015,11,BAKIRKÖY,15888328.788
2015,12,BAKIRKÖY,26579529.009
2016,1,BAKIRKÖY,31853641.184
2016,2,BAKIRKÖY,23582925.513
2016,3,BAKIRKÖY,23493849.776
2016,4,BAKIRKÖY,11714289.18
2016,5,BAKIRKÖY,9666011.18
2016,6,BAKIRKÖY,7026212.729
2016,7,BAKIRKÖY,6761245.817
2016,8,BAKIRKÖY,6807812.339
2016,9,BAKIRKÖY,6995609.091
2016,10,BAKIRKÖY,9766042.538
2016,11,BAKIRKÖY,20194639.426
2016,12,BAKIRKÖY,32147023.247
2017,1,BAKIRKÖY,37388773.482
2017,2,BAKIRKÖY,29093425.853
2017,3,BAKIRKÖY,24322018.974
2017,4,BAKIRKÖY,16199854.015
2017,5,BAKIRKÖY,8427136.288
2017,6,BAKIRKÖY,6042151.121
2017,7,BAKIRKÖY,6239381.008
2017,8,BAKIRKÖY,6271973.271
2017,9,BAKIRKÖY,6531803.092
2017,10,BAKIRKÖY,10906658.501
2017,11,BAKIRKÖY,19793791.131
2017,12,BAKIRKÖY,23380952.112
2018,1,BAKIRKÖY,32600531.339
2018,2,BAKIRKÖY,26837537.838
2018,3,BAKIRKÖY,26237860.607
2018,4,BAKIRKÖY,14030055.196
2018,5,BAKIRKÖY,8611292.153
2018,6,BAKIRKÖY,6195097.584
2018,7,BAKIRKÖY,6237755.883
2018,8,BAKIRKÖY,6077544.75
2018,9,BAKIRKÖY,6503460.501
2018,10,BAKIRKÖY,9203628.389
2018,11,BAKIRKÖY,17922849.135
2018,12,BAKIRKÖY,31235977.662
2019,1,BAKIRKÖY,34151360.773
2019,2,BAKIRKÖY,27967949.633
2019,3,BAKIRKÖY,25871696.21
2019,4,BAKIRKÖY,17128648.937
2019,5,BAKIRKÖY,7292251.276
2019,6,BAKIRKÖY,4947981.526
2019,7,BAKIRKÖY,5083134.175
2019,8,BAKIRKÖY,5265685.063
2019,9,BAKIRKÖY,5578563.107
2019,10,BAKIRKÖY,6671625.871
2019,11,BAKIRKÖY,10483911.014
2019,12,BAKIRKÖY,23739108.702
2020,1,BAKIRKÖY,31302746.198
2020,2,BAKIRKÖY,26822545.529
2020,3,BAKIRKÖY,22887058.132
2020,4,BAKIRKÖY,16542765.438
2020,5,BAKIRKÖY,7784767.422
2020,6,BAKIRKÖY,5597607.523
2020,7,BAKIRKÖY,4974654.255
2020,8,BAKIRKÖY,5212450.784
2020,9,BAKIRKÖY,5568286.184
2020,10,BAKIRKÖY,6819649.884
2020,11,BAKIRKÖY,17564279.654
2020,12,BAKIRKÖY,22584721.366
2021,1,BAKIRKÖY,26327879.508
2021,2,BAKIRKÖY,25181241.988
2021,3,BAKIRKÖY,28503869.384
